% start	end	CellId	IMSI	RNTI	LCID	nTxPDUs	TxBytes	nRxPDUs	RxBytes	delay	stdDev	min	max	PduSize	stdDev	min	max
0	0.25	1	1	1	1	4	27	6	43	0.00243512	0.00250254	0	0.00471429	7.16667	5.15429	2	16	
0.25	0.5	2	1	1	3	23	46	23	46	0	0	0	0	2	0	2	2	
0.5	0.75	2	1	1	3	24	70	24	70	0	0	0	0	2.91667	1.01795	2	4	
0.75	1	2	1	2	1	2	14	2	14	0.000664284	0	0.000664284	0.000664284	7	0	7	7	
0.75	1	2	1	2	3	24	56	24	56	0	0	0	0	2.33333	0.761387	2	4	
1	1.25	2	1	2	3	23	52	22	50	0	0	0	0	2.27273	0.7025	2	4	
1.25	1.5	2	1	3	1	2	14	2	14	0.000664284	0	0.000664284	0.000664284	7	0	7	7	
1.25	1.5	2	1	3	3	24	54	24	54	0	0	0	0	2.25	0.675664	2	4	
1.5	1.75	2	1	3	3	23	60	23	60	0	0	0	0	2.6087	0.940944	2	4	
1.75	2	2	1	3	3	23	70	23	70	0	0	0	0	3.04348	1.02151	2	4	
2	2.25	2	1	3	3	24	74	23	70	0	0	0	0	3.04348	1.02151	2	4	
2.25	2.5	2	1	3	3	19	62	20	66	0	0	0	0	3.3	0.978721	2	4	
2.5	2.75	2	1	3	3	20	76	20	76	0	0	0	0	3.8	0.615587	2	4	
2.75	3	2	1	4	1	2	14	2	14	0.000664284	0	0.000664284	0.000664284	7	0	7	7	
2.75	3	2	1	4	3	24	48	24	48	0	0	0	0	2	0	2	2	
3	3.25	2	1	4	3	23	66	23	66	0	0	0	0	2.86957	1.01374	2	4	
3.25	3.5	2	1	4	3	23	78	23	78	0	0	0	0	3.3913	0.940944	2	4	
3.5	3.75	2	1	4	3	24	70	24	70	0	0	0	0	2.91667	1.01795	2	4	
3.75	4	3	1	4	1	1	7	1	7	0.000664284	0	0.000664284	0.000664284	7	0	7	7	
3.75	4	3	1	4	3	24	64	24	64	0	0	0	0	2.66667	0.963087	2	4	
4	4.25	2	1	5	1	1	7	1	7	0.000664284	0	0.000664284	0.000664284	7	0	7	7	
4	4.25	2	1	5	3	23	54	22	52	0	0	0	0	2.36364	0.789542	2	4	
4.25	4.5	2	1	5	3	23	60	23	60	0	0	0	0	2.6087	0.940944	2	4	
4.5	4.75	2	1	5	3	20	66	20	66	0	0	0	0	3.3	0.978721	2	4	
4.75	5	2	1	5	3	23	50	23	50	0	0	0	0	2.17391	0.576208	2	4	
5	5.25	2	1	5	3	23	70	23	70	0	0	0	0	3.04348	1.02151	2	4	
5.25	5.5	2	1	5	3	22	84	22	84	0	0	0	0	3.81818	0.58849	2	4	
5.5	5.75	2	1	5	3	23	56	23	56	0	0	0	0	2.43478	0.843482	2	4	
5.75	6	2	1	5	3	23	80	23	80	0	0	0	0	3.47826	0.897956	2	4	
6	6.25	2	1	5	3	21	68	21	68	0	0	0	0	3.2381	0.995227	2	4	
6.25	6.5	2	1	5	3	24	64	24	64	0	0	0	0	2.66667	0.963087	2	4	
6.5	6.75	2	1	5	3	19	74	19	74	0	0	0	0	3.89474	0.458831	2	4	
6.75	7	2	1	5	3	23	56	23	56	0	0	0	0	2.43478	0.843482	2	4	
7	7.25	2	1	5	3	24	60	24	60	0	0	0	0	2.5	0.884652	2	4	
7.25	7.5	2	1	5	3	23	74	23	74	0	0	0	0	3.21739	0.998022	2	4	
7.5	7.75	2	1	5	3	23	56	23	56	0	0	0	0	2.43478	0.843482	2	4	
7.75	8	2	1	5	3	21	76	20	74	0	0	0	0	3.7	0.732695	2	4	
8	8.25	2	1	5	3	23	66	24	68	0	0	0	0	2.83333	1.00722	2	4	
8.25	8.5	2	1	5	3	23	80	23	80	0	0	0	0	3.47826	0.897956	2	4	
8.5	8.75	2	1	5	3	21	66	21	66	0	0	0	0	3.14286	1.01419	2	4	
8.75	9	2	1	5	3	23	76	23	76	0	0	0	0	3.30435	0.97397	2	4	
9	9.25	2	1	5	3	23	58	23	58	0	0	0	0	2.52174	0.897956	2	4	
9.25	9.5	2	1	5	3	24	52	24	52	0	0	0	0	2.16667	0.56466	2	4	
9.5	9.75	2	1	5	3	23	52	23	52	0	0	0	0	2.26087	0.6887	2	4	
9.75	10	2	1	5	3	23	60	23	60	0	0	0	0	2.6087	0.940944	2	4	
10	10.25	3	1	5	1	1	7	5	35	0.000132857	0.000297077	0	0.000664284	7	0	7	7	
10	10.25	3	1	5	3	23	80	22	76	0	0	0	0	3.45455	0.911685	2	4	
10.25	10.5	3	1	5	3	21	70	20	66	0	0	0	0	3.3	0.978721	2	4	
10.5	10.75	3	1	5	3	14	38	14	38	0	0	0	0	2.71429	0.99449	2	4	
